Topic,Count,Name,Representation,Representative_Docs
9,70,9_wives_women_marry_lawful,"['wives', 'women', 'marry', 'lawful', 'houses', 'marriage', 'your', 'believing', 'your wives', 'months']","['O you who have believed, when the believing women come to you as emigrants, examine them. Allah is most knowing as to their faith. And if you know them to be believers, then do not return them to the disbelievers; they are not lawful [wives] for them, nor are they lawful [husbands] for them. But give the disbelievers what they have spent. And there is no blame upon you if you marry them when you have given them their due compensation. And hold not to marriage bonds with disbelieving women, but ask for what you have spent and let them ask for what they have spent. That is the judgement of Allah; He judges between you. And Allah is Knowing and Wise.', 'O Prophet, indeed We have made lawful to you your wives to whom you have given their due compensation and those your right hand possesses from what Allah has returned to you [of captives] and the daughters of your paternal uncles and the daughters of your paternal aunts and the daughters of your maternal uncles and the daughters of your maternal aunts who emigrated with you and a believing woman if she gives herself to the Prophet [and] if the Prophet wishes to marry her, [this is] only for you, excluding the [other] believers. We certainly know what We have made obligatory upon them concerning their wives and those their right hands possess, [but this is for you] in order that there will be upon you no discomfort. And ever is Allah Forgiving and Merciful.', 'And whoever among you cannot [find] the means to marry free, believing women, then [he may marry] from those whom your right hands possess of believing slave girls. And Allah is most knowing about your faith. You [believers] are of one another. So marry them with the permission of their people and give them their due compensation according to what is acceptable. [They should be] chaste, neither [of] those who commit unlawful intercourse randomly nor those who take [secret] lovers. But once they are sheltered in marriage, if they should commit adultery, then for them is half the punishment for free [unmarried] women. This [allowance] is for him among you who fears sin, but to be patient is better for you. And Allah is Forgiving and Merciful.']"
10,61,10_pharaoh_people pharaoh_moses_people,"['pharaoh', 'people pharaoh', 'moses', 'people', 'in land', 'magician', 'eminent', 'haughty', 'soldiers', 'for me']","['And there certainly came to the people of Pharaoh warning.', 'Said Pharaoh, ""And what is the Lord of the worlds?""', 'To Pharaoh and his establishment, but they followed the command of Pharaoh, and the command of Pharaoh was not [at all] discerning.']"
11,61,11_resurrected_bones_life_dust,"['resurrected', 'bones', 'life', 'dust', 'have died', 'dead', 'when we', 'die', 'died', 'we']","['And they used to say, ""When we die and become dust and bones, are we indeed to be resurrected?', 'When we have died and become dust and bones, are we indeed to be resurrected?', 'They said, ""When we have died and become dust and bones, are we indeed to be resurrected?']"
12,60,12_have believed_who have_messenger_obey,"['have believed', 'who have', 'messenger', 'obey', 'believed', 'notification', 'believed fear', 'fear allah', 'obey allah', 'obey messenger']","['And obey Allah and obey the Messenger; but if you turn away - then upon Our Messenger is only [the duty of] clear notification.', 'O you who have believed, obey Allah and obey the Messenger and those in authority among you. And if you disagree over anything, refer it to Allah and the Messenger, if you should believe in Allah and the Last Day. That is the best [way] and best in result.', 'And obey Allah and obey the Messenger and beware. And if you turn away - then know that upon Our Messenger is only [the responsibility for] clear notification.']"
13,58,13_sign but_that sign_be believers_in that,"['sign but', 'that sign', 'be believers', 'in that', 'seized', 'sign', 'but most', 'who wronged', 'believers', 'which had']","['Indeed in that is a sign, but most of them were not to be believers.', 'Indeed in that is a sign, but most of them were not to be believers.', 'And the punishment seized them. Indeed in that is a sign, but most of them were not to be believers.']"
14,58,14_fight_allies_fighting_in cause,"['fight', 'allies', 'fighting', 'in cause', 'cause allah', 'cause', 'fought', 'if', 'allah', 'take']","['And kill them wherever you overtake them and expel them from wherever they have expelled you, and fitnah is worse than killing. And do not fight them at al-Masjid al- Haram until they fight you there. But if they fight you, then kill them. Such is the recompense of the disbelievers.', 'Except for those who take refuge with a people between yourselves and whom is a treaty or those who come to you, their hearts strained at [the prospect of] fighting you or fighting their own people. And if Allah had willed, He could have given them power over you, and they would have fought you. So if they remove themselves from you and do not fight you and offer you peace, then Allah has not made for you a cause [for fighting] against them.', 'Those who believe fight in the cause of Allah, and those who disbelieve fight in the cause of Taghut. So fight against the allies of Satan. Indeed, the plot of Satan has ever been weak.']"
15,55,15_heavens_heavens earth_earth_exalted,"['heavens', 'heavens earth', 'earth', 'exalted', 'unseen', 'knower unseen', 'knower', 'him belongs', 'it who', 'unseen witnessed']","['That is the Knower of the unseen and the witnessed, the Exalted in Might, the Merciful,', 'Knower of the unseen and the witnessed, the Exalted in Might, the Wise.', 'And it is He who created the heavens and earth in truth. And the day He says, ""Be,"" and it is, His word is the truth. And His is the dominion [on] the Day the Horn is blown. [He is] Knower of the unseen and the witnessed; and He is the Wise, the Acquainted.']"
16,53,16_touches_ungrateful_evil_man,"['touches', 'ungrateful', 'evil', 'man', 'favor', 'intercession', 'good', 'touches him', 'when adversity', 'adversity touches']","['And when We bestow favor upon man, he turns away and distances himself; but when evil touches him, then he is full of extensive supplication.', 'And when adversity touches you at sea, lost are [all] those you invoke except for Him. But when He delivers you to the land, you turn away [from Him]. And ever is man ungrateful.', 'And when adversity touches man, he calls upon Us; then when We bestow on him a favor from Us, he says, ""I have only been given it because of [my] knowledge."" Rather, it is a trial, but most of them do not know.']"
17,50,17_rain_firmly_firmly set_set mountains,"['rain', 'firmly', 'firmly set', 'set mountains', 'down', 'stones', 'mountains', 'set', 'from sky', 'down rain']","['And He has cast into the earth firmly set mountains, lest it shift with you, and [made] rivers and roads, that you may be guided,', 'And the earth - We spread it out and cast therein firmly set mountains and made grow therein [something] of every beautiful kind,', 'He created the heavens without pillars that you see and has cast into the earth firmly set mountains, lest it should shift with you, and dispersed therein from every creature. And We sent down rain from the sky and made grow therein [plants] of every noble kind.']"
18,49,18_us_our_we_fathers,"['us', 'our', 'we', 'fathers', 'our gods', 'not desist', 'wrongdoers', 'if do', 'gods', 'desist']","['They said, ""Our Lord, we have wronged ourselves, and if You do not forgive us and have mercy upon us, we will surely be among the losers.""', 'And their words were not but that they said, ""Our Lord, forgive us our sins and the excess [committed] in our affairs and plant firmly our feet and give us victory over the disbelieving people.""', 'And We divided them into twelve descendant tribes [as distinct] nations. And We inspired to Moses when his people implored him for water, ""Strike with your staff the stone,"" and there gushed forth from it twelve springs. Every people knew its watering place. And We shaded them with clouds and sent down upon them manna and quails, [saying], ""Eat from the good things with which We have provided you."" And they wronged Us not, but they were [only] wronging themselves.']"
19,47,19_abraham_worship allah_worship_deity other,"['abraham', 'worship allah', 'worship', 'deity other', 'brother', 'allah have', 'sent', 'not fear', 'we sent', 'than him']","['And We had certainly sent Noah to his people, and he said, ""O my people, worship Allah; you have no deity other than Him; then will you not fear Him?""', 'And to \'Aad [We sent] their brother Hud. He said, ""O my people, worship Allah; you have no deity other than Him. You are not but inventors [of falsehood].', 'And to the \'Aad [We sent] their brother Hud. He said, ""O my people, worship Allah; you have no deity other than Him. Then will you not fear Him?""']"
20,47,20_fruit_palm_trees_gardens,"['fruit', 'palm', 'trees', 'gardens', 'palm trees', 'grapevines', 'springs', 'fruits', 'its fruit', 'crops']","['In both of them are fruit and palm trees and pomegranates.', 'And fields of crops and palm trees with softened fruit?', 'Therein is fruit and palm trees having sheaths [of dates]']"
21,46,21_forgiving_allah forgiving_forgiving merciful_merciful,"['forgiving', 'allah forgiving', 'forgiving merciful', 'merciful', 'repent', 'whom wills', 'forgives', 'repentance', 'forgiveness', 'wills']","['But whoever repents after his wrongdoing and reforms, indeed, Allah will turn to him in forgiveness. Indeed, Allah is Forgiving and Merciful.', 'Except for those who return [repenting] before you apprehend them. And know that Allah is Forgiving and Merciful.', 'And to Allah belongs the dominion of the heavens and the earth. He forgives whom He wills and punishes whom He wills. And ever is Allah Forgiving and Merciful.']"
22,45,22_by_when it_by night_night,"['by', 'when it', 'by night', 'night', 'stars', 'covers', 'moon', 'dawn', 'it by', 'swear by']","['By the night when it covers', 'And [by] the night when it covers it', 'And [by] the night when it passes,']"
23,44,23_prayer_help_establish_establish prayer,"['prayer', 'help', 'establish', 'establish prayer', 'prayer give', 'give zakah', 'zakah', 'suffering', 'protector', 'can']","['And strive for Allah with the striving due to Him. He has chosen you and has not placed upon you in the religion any difficulty. [It is] the religion of your father, Abraham. Allah named you ""Muslims"" before [in former scriptures] and in this [revelation] that the Messenger may be a witness over you and you may be witnesses over the people. So establish prayer and give zakah and hold fast to Allah. He is your protector; and excellent is the protector, and excellent is the helper.', 'And establish prayer and give zakah, and whatever good you put forward for yourselves - you will find it with Allah. Indeed, Allah of what you do, is Seeing.', ""Indeed, your Lord knows, [O Muhammad], that you stand [in prayer] almost two thirds of the night or half of it or a third of it, and [so do] a group of those with you. And Allah determines [the extent of] the night and the day. He has known that you [Muslims] will not be able to do it and has turned to you in forgiveness, so recite what is easy [for you] of the Qur'an. He has known that there will be among you those who are ill and others traveling throughout the land seeking [something] of the bounty of Allah and others fighting for the cause of Allah. So recite what is easy from it and establish prayer and give zakah and loan Allah a goodly loan. And whatever good you put forward for yourselves - you will find it with Allah. It is better and greater in reward. And seek forgiveness of Allah. Indeed, Allah is Forgiving and Merciful.""]"
24,44,24_deity_no deity_deity except_except him,"['deity', 'no deity', 'deity except', 'except him', 'there no', 'there', 'allah there', 'no', 'except', 'god']","['That is Allah, your Lord, Creator of all things; there is no deity except Him, so how are you deluded?', 'Allah - there is no deity except Him, the Ever-Living, the Sustainer of existence.', 'Allah witnesses that there is no deity except Him, and [so do] the angels and those of knowledge - [that He is] maintaining [creation] in justice. There is no deity except Him, the Exalted in Might, the Wise.']"
25,43,25_punishment_hell_lightened_hell will,"['punishment', 'hell', 'lightened', 'hell will', 'abiding eternally', 'punishment will', 'will', 'curse', 'abiding', 'severe']","['And for those who disbelieve will be the fire of Hell. [Death] is not decreed for them so they may die, nor will its torment be lightened for them. Thus do we recompense every ungrateful one.', 'Abiding eternally therein. The punishment will not be lightened for them, nor will they be reprieved.', 'Abiding eternally therein. The punishment will not be lightened for them, nor will they be reprieved.']"
26,42,26_whatever in_whatever_heavens_in heavens,"['whatever in', 'whatever', 'heavens', 'in heavens', 'belongs', 'allah belongs', 'earth', 'belongs whatever', 'heavens whatever', 'heavens earth']","['To Allah belongs whatever is in the heavens and whatever is on the earth. And to Allah will [all] matters be returned.', 'And to Allah belongs whatever is in the heavens and whatever is on the earth. And ever is Allah, of all things, encompassing.', 'And to Allah belongs whatever is in the heavens and whatever is on the earth. And We have instructed those who were given the Scripture before you and yourselves to fear Allah. But if you disbelieve - then to Allah belongs whatever is in the heavens and whatever is on the earth. And ever is Allah Free of need and Praiseworthy.']"
27,39,27_breasts_within breasts_that within_knowing that,"['breasts', 'within breasts', 'that within', 'knowing that', 'within', 'conceal', 'their breasts', 'knowing', 'knows', 'breast']","['And conceal your speech or publicize it; indeed, He is Knowing of that within the breasts.', 'He knows what is within the heavens and earth and knows what you conceal and what you declare. And Allah is Knowing of that within the breasts.', 'Unquestionably, they the disbelievers turn away their breasts to hide themselves from Him. Unquestionably, [even] when they cover themselves in their clothing, Allah knows what they conceal and what they declare. Indeed, He is Knowing of that within the breasts.']"
28,39,28_allah hearing_hearing_hearing knowing_knowing,"['allah hearing', 'hearing', 'hearing knowing', 'knowing', 'allah', 'change', 'way allah', 'from satan', 'armies', 'remember']","['And if they decide on divorce - then indeed, Allah is Hearing and Knowing.', 'And if there comes to you from Satan an evil suggestion, then seek refuge in Allah. Indeed, He is the Hearing, the Knowing.', 'And if an evil suggestion comes to you from Satan, then seek refuge in Allah. Indeed, He is Hearing and Knowing.']"
29,37,29_reminder_may_whoever wills_as guidance,"['reminder', 'may', 'whoever wills', 'as guidance', 'reminder for', 'remember', 'so whoever', 'it so', 'may take', 'for reminder']","['As guidance and a reminder for those of understanding.', 'Indeed, this is a reminder, so he who wills may take to his Lord a way.', 'Indeed, this is a reminder, so whoever wills may take to his Lord a way.']"
30,37,30_magic_throw_obvious magic_moses,"['magic', 'throw', 'obvious magic', 'moses', 'obvious', 'this not', 'by magic', 'magicians', 'this', 'came']","['And said, ""This is not but magic imitated [from others].', 'And when our verses are recited to them as clear evidences, they say, ""This is not but a man who wishes to avert you from that which your fathers were worshipping."" And they say, ""This is not except a lie invented."" And those who disbelieve say of the truth when it has come to them, ""This is not but obvious magic.""', 'And say, ""This is not but obvious magic.']"
31,36,31_created_sperm_sperm drop_drop,"['created', 'sperm', 'sperm drop', 'drop', 'man', 'man from', 'clay', 'proportioned', 'create', 'from sperm']","['From a sperm-drop He created him and destined for him;', 'Indeed, We created man from a sperm-drop mixture that We may try him; and We made him hearing and seeing.', 'He created man from a sperm-drop; then at once, he is a clear adversary.']"
32,36,32_paradise_righteous deeds_attainment_deeds,"['paradise', 'righteous deeds', 'attainment', 'deeds', 'righteous', 'great attainment', 'believer', 'will abide', 'believed done', 'done righteous']","['Indeed, they who have believed and done righteous deeds and humbled themselves to their Lord - those are the companions of Paradise; they will abide eternally therein.', 'The Day He will assemble you for the Day of Assembly - that is the Day of Deprivation. And whoever believes in Allah and does righteousness - He will remove from him his misdeeds and admit him to gardens beneath which rivers flow, wherein they will abide forever. That is the great attainment.', 'Allah will say, ""This is the Day when the truthful will benefit from their truthfulness."" For them are gardens [in Paradise] beneath which rivers flow, wherein they will abide forever, Allah being pleased with them, and they with Him. That is the great attainment.']"
33,36,33_orphan_poor_orphans_property,"['orphan', 'poor', 'orphans', 'property', 'consume', 'needy', 'their properties', 'self', 'properties', 'wealth']","['And give to the orphans their properties and do not substitute the defective [of your own] for the good [of theirs]. And do not consume their properties into your own. Indeed, that is ever a great sin.', ""And do not approach the orphan's property except in a way that is best until he reaches maturity. And give full measure and weight in justice. We do not charge any soul except [with that within] its capacity. And when you testify, be just, even if [it concerns] a near relative. And the covenant of Allah fulfill. This has He instructed you that you may remember."", 'And test the orphans [in their abilities] until they reach marriageable age. Then if you perceive in them sound judgement, release their property to them. And do not consume it excessively and quickly, [anticipating] that they will grow up. And whoever, [when acting as guardian], is self-sufficient should refrain [from taking a fee]; and whoever is poor - let him take according to what is acceptable. Then when you release their property to them, bring witnesses upon them. And sufficient is Allah as Accountant.']"
34,35,34_favors_so which_lord would_deny,"['favors', 'so which', 'lord would', 'deny', 'your lord', 'would', 'which', 'lord', 'so', 'your']","['So which of the favors of your Lord would you deny?', 'So which of the favors of your Lord would you deny?', 'So which of the favors of your Lord would you deny?']"
35,34,35_destroyed_how many_we destroyed_many,"['destroyed', 'how many', 'we destroyed', 'many', 'city', 'destroy', 'cities', 'how', 'have we', 'destroyed before']","['And how many a city have We destroyed that was insolent in its [way of] living, and those are their dwellings which have not been inhabited after them except briefly. And it is We who were the inheritors.', 'And how many a generation have We destroyed before them who were better in possessions and [outward] appearance?', 'And how many have We destroyed before them of generations? Do you perceive of them anyone or hear from them a sound?']"
36,34,36_straight_path_straight path_on straight,"['straight', 'path', 'straight path', 'on straight', 'follow', 'no authority', 'will guide', 'guardian', 'me', 'over']","['And indeed, you invite them to a straight path.', 'And We guided them on the straight path.', 'On a straight path.']"
37,33,37_joseph_brother_father_seven,"['joseph', 'brother', 'father', 'seven', 'entered upon', 'our father', 'king', 'entered', 'egypt', 'master']","['When they said, ""Joseph and his brother are more beloved to our father than we, while we are a clan. Indeed, our father is in clear error.', 'And when they entered upon Joseph, he took his brother to himself; he said, ""Indeed, I am your brother, so do not despair over what they used to do [to me].""', 'They said, ""Are you indeed Joseph?"" He said ""I am Joseph, and this is my brother. Allah has certainly favored us. Indeed, he who fears Allah and is patient, then indeed, Allah does not allow to be lost the reward of those who do good.""']"
38,32,38_disbelievers_disbelieve_who disbelieve_but those,"['disbelievers', 'disbelieve', 'who disbelieve', 'but those', 'disbelieved', 'for disbelievers', 'used disbelieve', 'these disbelievers', 'because used', 'yes by']","['But those who disbelieve will not cease to be in doubt of it until the Hour comes upon them unexpectedly or there comes to them the punishment of a barren Day.', 'If you could but see when they will be made to stand before their Lord. He will say, ""Is this not the truth?"" They will say, ""Yes, by our Lord."" He will [then] say, ""So taste the punishment because you used to disbelieve.""', 'And the Day those who disbelieved are exposed to the Fire [it will be said], ""Is this not the truth?"" They will say, ""Yes, by our Lord."" He will say, ""Then taste the punishment because you used to disbelieve.""']"
39,31,39_warner_bringer good_bringer_clear warner,"['warner', 'bringer good', 'bringer', 'clear warner', 'tidings warner', 'good tidings', 'warners', 'tidings', 'sent', 'am']","['Indeed, We have sent you with the truth as a bringer of good tidings and a warner. And there was no nation but that there had passed within it a warner.', 'O People of the Scripture, there has come to you Our Messenger to make clear to you [the religion] after a period [of suspension] of messengers, lest you say, ""There came not to us any bringer of good tidings or a warner."" But there has come to you a bringer of good tidings and a warner. And Allah is over all things competent.', 'Indeed, We have sent you as a witness and a bringer of good tidings and a warner']"
40,30,40_first time_us_will our_will,"['first time', 'us', 'will our', 'will', 'our', 'first', 'come us', 'from right', 'will we', 'worship will']","['And they will say to their skins, ""Why have you testified against us?"" They will say, ""We were made to speak by Allah, who has made everything speak; and He created you the first time, and to Him you are returned.', 'And they will be presented before your Lord in rows, [and He will say], ""You have certainly come to Us just as We created you the first time. But you claimed that We would never make for you an appointment.""', '[It will be said to them], ""And you have certainly come to Us alone as We created you the first time, and you have left whatever We bestowed upon you behind you. And We do not see with you your \'intercessors\' which you claimed that they were among you associates [of Allah]. It has [all] been severed between you, and lost from you is what you used to claim.""']"
41,30,41_al_masjid_al masjid_masjid al,"['al', 'masjid', 'al masjid', 'masjid al', 'house', 'haram', 'al haram', 'prayer', 'turn your', 'your face']","['Exalted is He who took His Servant by night from al-Masjid al-Haram to al-Masjid al-Aqsa, whose surroundings We have blessed, to show him of Our signs. Indeed, He is the Hearing, the Seeing.', 'We have certainly seen the turning of your face, [O Muhammad], toward the heaven, and We will surely turn you to a qiblah with which you will be pleased. So turn your face toward al-Masjid al-Haram. And wherever you [believers] are, turn your faces toward it [in prayer]. Indeed, those who have been given the Scripture well know that it is the truth from their Lord. And Allah is not unaware of what they do.', 'So from wherever you go out [for prayer, O Muhammad] turn your face toward al- Masjid al-Haram, and indeed, it is the truth from your Lord. And Allah is not unaware of what you do.']"
42,30,42_wait_come_should come_waiting,"['wait', 'come', 'should come', 'waiting', 'impatient', 'be able', 'do await', 'intercessors', 'will precede', 'precede']","['Then do they await except that the Hour should come upon them unexpectedly? But already there have come [some of] its indications. Then what good to them, when it has come, will be their remembrance?', 'Do they await except its result? The Day its result comes those who had ignored it before will say, ""The messengers of our Lord had come with the truth, so are there [now] any intercessors to intercede for us or could we be sent back to do other than we used to do?"" They will have lost themselves, and lost from them is what they used to invent.', 'Do they [then] wait for anything except that the angels should come to them or your Lord should come or that there come some of the signs of your Lord? The Day that some of the signs of your Lord will come no soul will benefit from its faith as long as it had not believed before or had earned through its faith some good. Say, ""Wait. Indeed, we [also] are waiting.""']"
43,29,43_old_me_shirt_solomon,"['old', 'me', 'shirt', 'solomon', 'throne', 'husband', 'wife', 'woman', 'my', 'boy']","['He said, ""My Lord, how will I have a boy when my wife has been barren and I have reached extreme old age?""', 'She said, ""Woe to me! Shall I give birth while I am an old woman and this, my husband, is an old man? Indeed, this is an amazing thing!""', 'So [Solomon] smiled, amused at her speech, and said, ""My Lord, enable me to be grateful for Your favor which You have bestowed upon me and upon my parents and to do righteousness of which You approve. And admit me by Your mercy into [the ranks of] Your righteous servants.""']"
44,27,44_possessor_bounty_forgive_merciful,"['possessor', 'bounty', 'forgive', 'merciful', 'forgiving merciful', 'forgiving', 'allah possessor', 'depart', 'forgiveness', 'allah will']","['And Allah had certainly fulfilled His promise to you when you were killing the enemy by His permission until [the time] when you lost courage and fell to disputing about the order [given by the Prophet] and disobeyed after He had shown you that which you love. Among you are some who desire this world, and among you are some who desire the Hereafter. Then he turned you back from them [defeated] that He might test you. And He has already forgiven you, and Allah is the possessor of bounty for the believers.', 'Race toward forgiveness from your Lord and a Garden whose width is like the width of the heavens and earth, prepared for those who believed in Allah and His messengers. That is the bounty of Allah which He gives to whom He wills, and Allah is the possessor of great bounty.', 'O you who have believed, if you fear Allah, He will grant you a criterion and will remove from you your misdeeds and forgive you. And Allah is the possessor of great bounty.']"
45,26,45_knows what_knows_conceal_hidden,"['knows what', 'knows', 'conceal', 'hidden', 'allah knows', 'what conceal', 'declare', 'conceal what', 'what', 'what declare']","['Assuredly, Allah knows what they conceal and what they declare. Indeed, He does not like the arrogant.', 'And Allah knows what you conceal and what you declare.', 'But do they not know that Allah knows what they conceal and what they declare?']"
46,26,46_eat_lawful_animals_blood,"['eat', 'lawful', 'animals', 'blood', 'prohibited', 'flesh', 'good', 'transgressing', 'name allah', 'lawful for']","['He has only forbidden to you dead animals, blood, the flesh of swine, and that which has been dedicated to other than Allah. But whoever is forced [by necessity], neither desiring [it] nor transgressing [its limit], there is no sin upon him. Indeed, Allah is Forgiving and Merciful.', 'Prohibited to you are dead animals, blood, the flesh of swine, and that which has been dedicated to other than Allah, and [those animals] killed by strangling or by a violent blow or by a head-long fall or by the goring of horns, and those from which a wild animal has eaten, except what you [are able to] slaughter [before its death], and those which are sacrificed on stone altars, and [prohibited is] that you seek decision through divining arrows. That is grave disobedience. This day those who disbelieve have despaired of [defeating] your religion; so fear them not, but fear Me. This day I have perfected for you your religion and completed My favor upon you and have approved for you Islam as religion. But whoever is forced by severe hunger with no inclination to sin - then indeed, Allah is Forgiving and Merciful.', 'He has only forbidden to you dead animals, blood, the flesh of swine, and that which has been dedicated to other than Allah. But whoever is forced [by necessity], neither desiring [it] nor transgressing [its limit] - then indeed, Allah is Forgiving and Merciful.']"
47,25,47_oaths_oath_swear_upon for,"['oaths', 'oath', 'swear', 'upon for', 'by allah', 'impose blame', 'impose', 'covenant allah', 'blame upon', 'satisfied with']","['Allah does not impose blame upon you for what is unintentional in your oaths, but He imposes blame upon you for what your hearts have earned. And Allah is Forgiving and Forbearing.', 'That is more likely that they will give testimony according to its [true] objective, or [at least] they would fear that [other] oaths might be taken after their oaths. And fear Allah and listen; and Allah does not guide the defiantly disobedient people.', 'Allah will not impose blame upon you for what is meaningless in your oaths, but He will impose blame upon you for [breaking] what you intended of oaths. So its expiation is the feeding of ten needy people from the average of that which you feed your [own] families or clothing them or the freeing of a slave. But whoever cannot find [or afford it] - then a fast of three days [is required]. That is the expiation for oaths when you have sworn. But guard your oaths. Thus does Allah make clear to you His verses that you may be grateful.']"
48,24,48_angels_angels will_angels who_mention day,"['angels', 'angels will', 'angels who', 'mention day', 'rank', 'therein whatever', 'have therein', 'used worship', 'before us', 'by those']","['[The angels will be ordered], ""Gather those who committed wrong, their kinds, and what they used to worship', 'And [mention] the Day when He will gather them all and then say to the angels, ""Did these [people] used to worship you?""', 'And [mention] the Day when the heaven will split open with [emerging] clouds, and the angels will be sent down in successive descent.']"
49,24,49_denied_had denied_ridicule_it came,"['denied', 'had denied', 'ridicule', 'it came', 'used', 'but there', 'truth when', 'this what', 'used deny', 'used ridicule']","['Rather, they have denied that which they encompass not in knowledge and whose interpretation has not yet come to them. Thus did those before them deny. Then observe how was the end of the wrongdoers.', 'For they have already denied, but there will come to them the news of that which they used to ridicule.', 'For they had denied the truth when it came to them, but there is going to reach them the news of what they used to ridicule.']"
